station,net_node,hour,threshold,nodes_CA,nodes_TCA,reduction_pct
면목,436816024,6,38.0,1746,1746,0.0
상봉,436718863,6,38.0,2078,2078,0.0
중화,3819991417,6,38.0,1857,1857,0.0
먹골,436538654,6,38.0,1117,1117,0.0
태릉입구,13821634895,6,38.0,1354,1354,0.0
공릉,13566284590,6,38.0,1151,1151,0.0
하계,13566334119,6,38.0,554,554,0.0
중계,3835756882,6,38.0,440,440,0.0
노원,10598556476,6,38.0,697,697,0.0
마들,9410070134,6,38.0,1010,1010,0.0
수락산,13566334197,6,38.0,619,619,0.0
가산디지털단지,436846908,6,38.0,460,460,0.0
남구로,2590252230,6,38.0,768,768,0.0
대림,2589375675,6,38.0,858,858,0.0
신풍,2108483850,6,38.0,848,848,0.0
보라매,2108483937,6,38.0,721,721,0.0
신대방삼거리,2108483943,6,38.0,901,901,0.0
장승배기,1830596637,6,38.0,854,854,0.0
상도,436821675,6,38.0,771,771,0.0
숭실대입구,11413637825,6,38.0,585,585,0.0
남성,4195693782,6,38.0,686,686,0.0
이수,13434371130,6,38.0,970,970,0.0
내방,2110270505,6,38.0,487,487,0.0
반포,9914441894,6,38.0,746,746,0.0
논현,2280678861,6,38.0,955,955,0.0
학동,2279487893,6,38.0,1030,1030,0.0
청담,2279487921,6,38.0,785,785,0.0
자양,9040152140,6,38.0,636,636,0.0
용두,1939143883,6,38.0,1269,1269,0.0
신답,2460188205,6,38.0,45,45,0.0
천왕,1784377384,6,38.0,338,338,0.0
장지,11202554992,6,38.0,983,983,0.0
문정,6832910091,6,38.0,581,581,0.0
송파,2280491847,6,38.0,553,553,0.0
석촌,2280491863,6,38.0,301,301,0.0
몽촌토성,2346858828,6,38.0,451,451,0.0
강동구청,436855505,6,38.0,904,904,0.0
암사,999136556,6,38.0,828,828,0.0
중앙보훈병원,4197252516,6,38.0,357,357,0.0
둔촌오륜,11229084218,6,38.0,377,377,0.0
한성백제,10009448574,6,38.0,394,394,0.0
송파나루,1809560163,6,38.0,485,485,0.0
석촌고분,10855673146,6,38.0,780,780,0.0
삼전,4186302819,6,38.0,613,613,0.0
대모산입구,4643770733,6,38.0,495,495,0.0
개포동,2032418657,6,38.0,428,428,0.0
구룡,436814317,6,38.0,225,225,0.0
한티,4784810914,6,38.0,616,616,0.0
압구정로데오,596509934,6,38.0,705,705,0.0
서울숲,9081846792,6,38.0,723,723,0.0
양재시민의숲,12872531616,6,38.0,667,667,0.0
청계산입구,11744211938,6,38.0,177,177,0.0
성신여대입구,5226829495,6,38.0,886,886,0.0
청량리,7749822746,6,38.0,1451,1451,0.0
신내,9534964676,6,38.0,661,661,0.0
종로3가,7068953101,6,38.0,1739,1739,0.0
신설동,13345643243,6,38.0,1380,1380,0.0
성신여대입구,9816197077,6,38.0,862,862,0.0
이촌,13472471079,6,38.0,485,485,0.0
서울역,10216518963,6,38.0,550,550,0.0
수서,6004121530,6,38.0,224,224,0.0
건대입구,11303511536,6,38.0,1018,1018,0.0
선정릉,596482732,6,38.0,765,765,0.0
선릉,860338496,6,38.0,762,762,0.0
도곡,3418782698,6,38.0,447,447,0.0
수서,12364278188,6,38.0,233,233,0.0
복정,11330600836,6,38.0,445,445,0.0
왕십리,9369050246,6,38.0,1530,1530,0.0
왕십리,11127349780,6,38.0,1663,1663,0.0
신설동,4173042514,6,38.0,1293,1293,0.0
939정거장,8436624771,6,38.0,364,364,0.0
창동,4659124351,6,38.0,526,526,0.0
동작,3401123578,6,38.0,13,13,0.0
개화,9701881739,6,38.0,242,242,0.0
상봉,2470981971,6,38.0,1849,1849,0.0
관악산,4373612914,6,38.0,549,549,0.0
서울대벤처타운,1835221096,6,38.0,879,879,0.0
신림,1844912791,6,38.0,1197,1197,0.0
당곡,436858756,6,38.0,1055,1055,0.0
보라매병원,436847189,6,38.0,817,817,0.0
보라매공원,7916896848,6,38.0,516,516,0.0
보라매,2819460436,6,38.0,703,703,0.0
서울지방병무청,11178013529,6,38.0,675,675,0.0
대방,11553007316,6,38.0,534,534,0.0
샛강,13506574406,6,38.0,361,361,0.0
샛강,13670786965,6,38.0,348,348,0.0
서울역,3390941198,6,38.0,980,980,0.0
디지털미디어시티,2605603657,6,38.0,383,383,0.0
디지털미디어시티,4652833827,6,38.0,469,469,0.0
노원,5706189891,6,38.0,776,776,0.0
양재,4865811281,6,38.0,893,893,0.0
강남,3087683154,6,38.0,1222,1222,0.0
당산,10814323607,6,38.0,737,737,0.0
서울역,3391063393,6,38.0,1011,1011,0.0
신길,4636791670,6,38.0,720,720,0.0
가산디지털단지,2108483903,6,38.0,492,492,0.0
상계,3401474874,6,38.0,689,689,0.0
선유도,2726710465,6,38.0,537,537,0.0
신목동,2812530406,6,38.0,405,405,0.0
염창,2289016390,6,38.0,683,683,0.0
등촌,2290015312,6,38.0,810,810,0.0
증미,3042643876,6,38.0,673,673,0.0
가양,2142681442,6,38.0,885,885,0.0
양천향교,414683333,6,38.0,635,635,0.0
신방화,10814323761,6,38.0,827,827,0.0
공항시장,4604019398,6,38.0,777,777,0.0
총신대입구(이수),4984575377,6,38.0,877,877,0.0
동묘앞,3830591800,6,38.0,1683,1683,0.0
동대문,7195666618,6,38.0,1827,1827,0.0
종로3가,4198116864,6,38.0,1363,1363,0.0
종로3가,4197560774,6,38.0,1595,1595,0.0
정릉,3828480980,6,38.0,700,700,0.0
솔샘,3841342870,6,38.0,826,826,0.0
삼양사거리,3841342963,6,38.0,1425,1425,0.0
삼양,3840741768,6,38.0,1428,1428,0.0
화계,436865378,6,38.0,1464,1464,0.0
가오리,3840936112,6,38.0,1346,1346,0.0
4.19민주묘지,3841077641,6,38.0,939,939,0.0
솔밭공원,3626451463,6,38.0,493,493,0.0
북한산우이,11824482197,6,38.0,274,274,0.0
시청,7677568503,6,38.0,1206,1206,0.0
노량진,4627778176,6,38.0,411,411,0.0
김포공항,7981330101,6,38.0,553,553,0.0
김포공항,4874729815,6,38.0,614,614,0.0
옥수,8222891384,6,38.0,318,318,0.0
신도림,5119449050,6,38.0,331,331,0.0
수서,11563289590,6,38.0,234,234,0.0
연신내,10678122489,6,38.0,1643,1643,0.0
뚝섬,8498978693,6,38.0,756,756,0.0
동대문역사문화공원,414685825,6,38.0,1759,1759,0.0
동대문역사문화공원,1945254583,6,38.0,1864,1864,0.0
종합운동장,13894950326,6,38.0,402,402,0.0
홍대입구,13227913200,6,38.0,2129,2129,0.0
942정거장,436815896,6,38.0,625,625,0.0
한성대입구,5973684086,6,42.7,1088,1088,0.0
제기동,9655918649,6,42.7,1288,1288,0.0
신이문,3831106833,6,42.7,1042,1042,0.0
회기,9776882774,6,42.7,1756,1756,0.0
월계,3834716670,6,42.7,300,300,0.0
녹천,3834717475,6,42.7,227,227,0.0
광운대,436854528,6,42.7,396,396,0.0
창동,3834608837,6,42.7,424,424,0.0
방학,3846919916,6,42.7,688,688,0.0
오류동,8508812072,6,42.7,98,98,0.0
개봉,5442986444,6,42.7,390,390,0.0
구일,3210749463,6,42.7,272,272,0.0
일원,9454279402,6,42.7,208,208,0.0
양원,9534964626,6,42.7,911,911,0.0
한남,3852156874,6,42.7,249,249,0.0
수색,11944713936,6,42.7,364,364,0.0
940정거장,3011994542,6,42.7,315,315,0.0
중랑,10138603166,6,42.7,1617,1617,0.0
망우,9760894592,6,42.7,1800,1800,0.0
국회의사당,2932339394,6,42.7,587,587,0.0
노들,4627760504,6,42.7,448,448,0.0
신설동,13227969660,6,42.7,1231,1231,0.0
용답,2460188229,6,42.7,807,807,0.0
신촌,13683819523,6,42.7,2215,2215,0.0
수서,6299196105,6,42.7,236,236,0.0
충정로,3893042379,6,42.7,1387,1387,0.0
서강대,5221755996,6,42.7,2111,2111,0.0
종로5가,436883169,6,42.7,1678,1678,0.0
고속터미널,9798531671,6,42.7,689,689,0.0
청량리,10121691848,6,42.7,1413,1413,0.0
봉은사,595750357,6,42.7,602,602,0.0
언주,414684639,6,42.7,1033,1033,0.0
삼성중앙,595750358,6,42.7,682,682,0.0
사평,13512489422,6,42.7,789,789,0.0
선정릉,2110338712,6,42.7,804,804,0.0
신논현,8376423650,6,42.7,1082,1082,0.0
외대앞,3831105923,6,42.7,1212,1212,0.0
구반포,11641428792,6,42.7,381,381,0.0
흑석,436881334,6,42.7,262,262,0.0
신반포,10918075302,6,42.7,556,556,0.0
온수,4987997944,6,42.7,269,269,0.0
왕십리,9083521281,6,42.7,1411,1411,0.0
응봉,13780851569,6,42.7,76,76,0.0
도봉,7006105399,6,42.7,659,659,0.0
서빙고,12874837067,6,42.7,295,295,0.0
양재,11431861586,6,42.7,940,940,0.0
이촌,4172393733,6,42.7,454,454,0.0
복정,11330600853,6,42.7,392,392,0.0
독산,4095041979,6,42.7,268,268,0.0
신내,9810803930,6,42.7,662,662,0.0
금천구청,5308009219,6,42.7,605,605,0.0
암사역사공원,436817489,6,42.7,476,476,0.0
보문,436873184,6,42.7,1115,1115,0.0
동작,7660036116,6,42.7,204,204,0.0
서울,10013086401,6,42.7,830,830,0.0
도곡,5403582157,6,42.7,462,462,0.0
김포공항,2353543144,6,42.7,522,522,0.0
동대문역사문화공원,8496801700,6,42.7,1850,1850,0.0
구로,8918160546,6,42.7,533,533,0.0
북한산보국문,3841557294,6,42.7,582,582,0.0
안국,436867523,6,42.7,1297,1297,0.0
강일,13093833784,6,42.7,347,347,0.0
천호,999136673,6,42.7,1051,1051,0.0
서원,1835221331,6,42.7,1227,1227,0.0
동대문,3830591792,6,42.7,1671,1671,0.0
삼각지,5589627062,6,42.7,902,902,0.0
도봉산,5246596481,6,42.7,477,477,0.0
도봉산,5246596482,6,42.7,488,488,0.0
영등포,11459128410,6,42.7,783,783,0.0
노량진,3785111388,6,42.7,417,417,0.0
용산,10816124190,6,42.7,415,415,0.0
